nid,nseq,eid,x,y,epsg
122037,1,178243,832.438906548118,90.1587340528955,3364
122037,2,178242,832.438906548118,90.1587340528955,3364
122037,3,183980,832.438906548118,90.1587340528955,3364
122038,1,184224,825.031597186972,98.740452226893,3364
122038,2,178246,825.031597186972,98.740452226893,3364
122038,3,178244,825.031597186972,98.740452226893,3364
122039,1,178728,821.639510838438,98.2570936849119,3364
122039,2,178245,821.639510838438,98.2570936849119,3364
122039,3,178248,821.639510838438,98.2570936849119,3364
122040,1,175375,822.201505688139,100.83060672104,3364
122040,2,178249,822.201505688139,100.83060672104,3364
122040,3,183977,822.201505688139,100.83060672104,3364
122040,4,178247,822.201505688139,100.83060672104,3364
122041,1,178249,820.019288706741,100.798498101166,3364
122041,2,178248,820.019288706741,100.798498101166,3364
122041,3,177165,820.019288706741,100.798498101166,3364
122042,1,180089,801.745204479289,86.0028316768698,3364
122042,2,178252,801.745204479289,86.0028316768698,3364
122042,3,178250,801.745204479289,86.0028316768698,3364
122043,1,178253,804.010024076987,86.3547633873546,3364
122043,2,178252,804.010024076987,86.3547633873546,3364
122043,3,178251,804.010024076987,86.3547633873546,3364
122044,1,183888,804.878779653408,86.8288751374544,3364
122044,2,178255,804.878779653408,86.8288751374544,3364
122044,3,178253,804.878779653408,86.8288751374544,3364
122045,1,178254,805.071417812753,84.811219161479,3364
122045,2,178256,805.071417812753,84.811219161479,3364
122045,3,178255,805.071417812753,84.811219161479,3364
122046,1,178256,803.739747766542,85.21315037322,3364
122046,2,174226,803.739747766542,85.21315037322,3364
122046,3,178258,803.739747766542,85.21315037322,3364
122047,1,178250,801.336674110038,85.7836329958556,3364
122047,2,178258,801.336674110038,85.7836329958556,3364
122047,3,178257,801.336674110038,85.7836329958556,3364
122048,1,177677,771.284121890301,231.737699664381,3364
122048,2,178259,771.284121890301,231.737699664381,3364
122049,1,178260,754.405209863833,210.837717414014,3364
122049,2,180939,754.405209863833,210.837717414014,3364
122050,1,178263,837.686520110201,85.8728599313153,3364
122050,2,178261,837.686520110201,85.8728599313153,3364
122050,3,177235,837.686520110201,85.8728599313153,3364
122051,1,183809,839.007302885363,88.1952361372816,3364
122051,2,178263,839.007302885363,88.1952361372816,3364
122051,3,178262,839.007302885363,88.1952361372816,3364
122052,1,178264,842.302889420872,85.7158058518476,3364
122052,2,131667,842.302889420872,85.7158058518476,3364
122052,3,178269,842.302889420872,85.7158058518476,3364
122053,1,178265,846.704948116314,88.1980743342652,3364
122053,2,132911,846.704948116314,88.1980743342652,3364
122053,3,178267,846.704948116314,88.1980743342652,3364
122054,1,179641,846.173614967733,88.4893065219331,3364
122054,2,178267,846.173614967733,88.4893065219331,3364
122054,3,178266,846.173614967733,88.4893065219331,3364
122055,1,178266,845.202130204283,88.9564028293577,3364
122055,2,180278,845.202130204283,88.9564028293577,3364
122055,3,183817,845.202130204283,88.9564028293577,3364
122055,4,178268,845.202130204283,88.9564028293577,3364
122056,1,178269,841.75033191721,87.7061617895091,3364
122056,2,178270,841.75033191721,87.7061617895091,3364
122057,1,178273,850.852868057592,101.275235248761,3364
122057,2,178271,850.852868057592,101.275235248761,3364
122057,3,177632,850.852868057592,101.275235248761,3364
122058,1,175389,851.075810976907,101.562424053795,3364
122058,2,178273,851.075810976907,101.562424053795,3364
122058,3,178272,851.075810976907,101.562424053795,3364
122059,1,178275,408.643924325327,123.897149929557,3364
122059,2,184524,408.643924325327,123.897149929557,3364
122059,3,181056,408.643924325327,123.897149929557,3364
122060,1,178274,408.771100025694,123.967767031665,3364
122060,2,178276,408.771100025694,123.967767031665,3364
122060,3,178275,408.771100025694,123.967767031665,3364
122061,1,184523,409.299667933762,123.267631657671,3364
122061,2,178277,409.299667933762,123.267631657671,3364
122061,3,178276,409.299667933762,123.267631657671,3364
122062,1,178278,394.514583929851,134.793115391652,3364
122062,2,174293,394.514583929851,134.793115391652,3364
122062,3,178279,394.514583929851,134.793115391652,3364
122063,1,178281,390.779120354274,134.484318878573,3364
122063,2,182937,390.779120354274,134.484318878573,3364
122064,1,178280,394.240275008488,135.683760384983,3364
122064,2,175722,394.240275008488,135.683760384983,3364
122064,3,182940,394.240275008488,135.683760384983,3364
122065,1,178284,803.78561815227,73.9764521930125,3364
122065,2,178286,803.78561815227,73.9764521930125,3364
122066,1,180854,804.363379642062,72.765605858716,3364
122066,2,178283,804.363379642062,72.765605858716,3364
122066,3,178285,804.363379642062,72.765605858716,3364
122067,1,178285,804.15071511451,73.2840053471623,3364
122067,2,175342,804.15071511451,73.2840053471623,3364
122067,3,178286,804.15071511451,73.2840053471623,3364
122068,1,180007,417.865714199398,128.818994808319,3364
122068,2,178287,417.865714199398,128.818994808319,3364
122069,1,178289,416.307889922709,124.174917487819,3364
122069,2,184032,416.307889922709,124.174917487819,3364
122070,1,175517,416.633794909064,124.902227966262,3364
