rn,D04,R04,D08,R08,D12,R12,D16,R16
58,1168,2221,1495,1996,1670,2789,1285,3044
59,1099,1954,1514,1724,1609,2740,1523,3177
60,406,540,460,435,727,917,550,748
61,2332,3636,3032,3160,2110,2621,1949,2946
62,1182,1900,1591,1822,1644,2293,1590,2719
63,1147,1377,1366,1143,1190,1337,845,1631
64,250,423,301,335,255,377,167,391
65,1438,2293,2125,2120,2000,2342,1911,2891
66,658,808,927,775,1526,1844,1380,1608
67,872,829,1021,626,997,974,1010,856
68,1280,1504,1537,1224,792,775,852,847
69,410,658,447,497,431,421,410,471
70,345,497,339,320,398,390,204,235
71,772,1192,985,1036,1116,1091,951,1096
72,1282,1536,1452,1155,1114,1123,893,1073
73,1353,2032,1616,1613,1200,1610,1039,1512
74,765,801,846,589,1037,893,772,926
75,620,996,891,908,1144,1274,1098,1362
76,1123,1833,1629,1739,1391,2200,1233,2563
77,415,813,513,685,456,937,317,955
78,1012,1435,1313,1310,1482,1835,1040,2081
79,432,729,590,690,556,847,567,902
80,696,1237,862,1097,1079,1725,1069,1613
81,1423,1946,1652,1568,1686,1700,1405,1721
82,1208,1218,1316,891,218,239,185,231
83,368,323,393,241,327,279,185,351
84,963,939,925,732,916,843,627,1051
85,449,414,442,366,382,422,254,517
86,1068,860,1036,774,910,845,718,975
87,838,688,817,590,752,722,538,850
88,934,927,963,792,893,877,722,995
89,724,578,646,501,612,576,449,725
90,1014,922,948,803,898,847,650,1123
91,823,819,778,747,745,903,525,1103
92,604,837,605,770,418,700,301,764
93,544,802,521,724,589,852,428,945
94,1044,1762,1300,1372,1167,1687,807,1910
95,422,742,506,622,423,760,243,842
96,1843,2153,2207,1620,1922,1804,1626,1632
97,802,967,1079,706,852,629,676,591
98,951,1565,1290,1376,798,1208,782,1212
99,462,648,598,555,584,722,806,1133
100,663,949,739,816,576,996,454,1080
101,1385,1938,1604,1559,1416,1870,1025,2090
102,1246,1369,1418,1098,1165,1345,848,1429
103,226,197,1196,1493,1703,2372,1305,2017
104,809,1070,1456,1450,737,876,822,911
105,894,655,1194,744,989,818,802,931
106,1139,1097,1258,918,1325,1189,1074,1397
107,2279,2161,2399,1887,2218,1845,1859,1972
108,635,658,705,574,455,453,333,528
109,2342,2441,2581,2031,2499,2336,2009,2579
110,1414,1503,1598,1360,1770,1804,1572,2135
111,1365,1367,1429,1171,1603,1448,1066,1847
112,740,916,805,751,711,859,446,1113
113,989,1276,1113,1180,955,1202,695,1443
114,682,883,723,742,556,861,412,998
115,1488,1616,1624,1369,1599,1963,1171,2312
116,1073,1397,1134,1064,836,1219,652,1288
117,777,808,936,713,715,742,497,922
118,1451,1448,1468,1289,1162,1137,767,1463
119,586,570,581,485,415,454,281,537
120,985,1279,1153,989,917,1305,593,1473
121,716,884,819,697,758,990,504,1176
122,1258,1484,1380,1224,1208,1331,844,1520
123,334,332,352,286,302,314,197,398
124,645,1376,763,1096,766,1121,580,1153
125,1358,1548,1618,1244,1683,1278,1190,1473
126,95,145,118,108,116,94,241,320
127,1519,1381,1740,1068,2143,1256,1592,1338
128,1347,1409,1534,1086,1560,1143,1198,1360
129,918,1004,1083,846,555,491,472,520
130,1138,1031,1363,890,1653,1176,1264,1262
131,2696,2366,2953,2043,2829,2065,2577,2135
132,883,887,1084,777,972,799,806,878
133,865,784,971,604,1025,754,756,874
134,574,679,723,540,645,508,491,565
135,1578,1644,1948,1329,2221,1528,1808,1625
136,1127,726,1166,544,1058,537,770,675
137,683,524,705,428,678,438,548,592
138,561,496,632,354,579,386,368,542
139,498,474,538,381,289,290,208,366
140,835,604,869,434,948,621,689,771
141,1086,958,1216,775,1182,875,913,997
142,1701,592,1759,460,1543,302,1602,227
143,733,327,788,240,1322,270,1364,168
144,975,437,1062,334,1466,567,1512,376
145,3442,1644,3851,1242,3289,1218,3417,821
146,0,0,0,0,1674,682,1722,508
147,2226,695,2450,528,2583,513,2662,349
148,2014,581,2095,460,1386,290,1513,167
149,1027,350,1061,256,2099,416,2161,275
150,1370,576,1578,414,2594,758,2366,461
151,1714,1198,2415,1146,0,0,0,0
152,1850,696,2082,465,2126,548,1902,343
153,689,325,798,266,1989,609,2029,449
154,2477,1234,2645,875,2146,639,1995,523
155,3109,1642,3733,1170,4832,1730,4728,1092
156,3147,1675,3927,1221,5298,1962,5672,1434
157,2502,1039,2718,762,2341,685,2193,449
158,1971,499,1964,359,1897,395,1930,234
159,2271,391,2298,285,2327,300,2400,181
160,1593,240,1621,198,719,86,746,44
161,1417,333,1503,196,1467,291,1519,145
162,1390,247,1545,178,2124,281,2258,189
163,1759,779,1864,628,1831,786,2159,646
164,3554,1405,3629,1011,2410,844,2622,594
165,2810,634,2899,512,2695,524,2827,358
166,1422,231,1499,166,0,0,0,0
167,2345,437,2406,238,2366,249,2298,266
168,1670,510,1763,346,1907,347,1721,260
169,1717,886,2081,731,3678,1486,4067,1111
170,0,0,0,0,1201,318,1059,268
171,1407,591,1384,413,1578,437,1528,411
172,5060,1938,5674,1592,3291,1571,3978,1293
173,2659,628,2494,458,1835,717,2072,452
174,2325,552,2868,652,1981,403,2479,281
175,720,191,748,123,2470,830,3198,653
176,1249,273,1526,285,1414,315,1681,226
177,2328,277,2411,224,2342,286,2282,155
178,1203,108,1202,78,2243,178,2433,134
179,1441,178,1392,119,2141,196,1810,107
180,4113,233,4236,192,4506,209,4452,148
181,3145,320,3237,209,3686,307,3299,181
182,3080,671,3172,467,3161,248,2929,241
183,1527,420,1638,288,2402,367,2045,349
184,841,229,919,189,948,146,822,154
185,1133,692,1225,566,1306,618,1180,451
186,2724,1255,2944,960,2896,932,2865,777
187,1482,446,1626,322,1517,235,1318,222
188,279,66,319,37,15,1,11,2
189,491,147,524,111,788,115,695,117
190,1822,845,1969,619,2640,730,2307,683
191,1374,650,1676,455,1717,493,1652,363
192,1952,691,2047,496,1894,340,2065,426
193,1534,514,1586,393,2414,651,2262,511
194,376,178,377,117,878,228,808,189
195,2964,1464,3105,1095,4963,1536,5113,1424
196,2608,1137,3583,1082,3131,849,2915,747
197,1465,781,1582,649,1787,619,1694,512
198,915,212,1021,185,1007,181,1049,113
199,500,109,512,75,536,100,662,62
200,326,294,369,233,576,448,690,294
201,1430,659,1653,548,1652,517,1776,418
202,1325,598,1373,427,1328,413,1301,355
203,2795,1543,3442,1328,1934,886,2051,765
204,1630,1180,1971,1008,3014,1730,2642,1268
205,1117,828,1164,622,1020,576,932,560
206,2010,1373,2332,1029,2493,1029,3151,1014
207,464,292,736,304,743,300,497,237
208,1893,1551,2382,1269,2251,1314,2657,1155
209,1570,1282,2147,1300,1922,1359,2540,1093
210,692,749,822,606,1947,1685,2109,1266
211,663,709,846,623,1169,1078,1302,826
212,1840,942,2100,754,2248,897,2318,717
213,3463,1758,4007,1400,3927,1697,4462,1256
214,2018,1344,2260,1062,2197,963,2124,789
215,1029,957,1328,933,1981,1557,2163,1408
216,2093,2027,2641,1749,2414,1920,2503,1683
217,779,723,963,679,876,688,964,630
218,1314,860,1513,659,1428,756,1413,677
219,1203,881,1397,698,2210,1164,2092,1031
220,1448,1497,1940,1308,1434,1066,2061,1483
221,1916,2057,2578,1713,2694,1611,2714,1630
222,2721,2074,3548,1719,2971,1707,2381,1135
223,938,706,1143,548,1362,801,1273,656
224,1558,1268,1986,998,2774,1593,2851,1413
225,485,511,590,435,658,491,560,506
226,2320,2152,2781,1617,2792,1854,2221,2009
227,2005,1506,2371,1254,2430,1510,2164,1539
228,2521,2122,3340,1898,3267,2003,3132,1840
229,685,593,741,485,430,310,731,557
230,640,413,753,315,732,369,592,463
231,718,420,790,333,1350,775,801,423
232,4155,2915,4537,2193,4383,1995,4502,2315
233,1155,766,1370,594,1348,647,1161,649
234,999,669,1207,556,1237,673,1125,632
235,2086,1420,2365,1104,2576,1334,2370,1054
236,2129,1484,2959,1476,2362,1319,2607,1353
237,990,565,1102,494,882,423,804,434
238,1425,858,1637,755,1375,708,1358,648
239,2105,1468,2444,1271,2699,1583,2575,1358
240,908,780,1044,657,1024,776,928,711
241,1731,1239,1954,1071,1957,1202,1852,1096
242,1562,964,1789,789,1851,911,1572,940
243,827,882,1063,792,1056,932,912,958
244,1546,1446,1953,1242,2111,1407,2269,1506
245,2106,1907,2928,1651,3108,1911,2798,1795
246,2272,1635,2887,1420,2979,1767,3334,1491
247,1383,390,1488,294,713,216,751,191
248,763,278,827,195,1513,191,1523,143
249,1067,2403,1205,2069,1165,2543,845,2470
250,87,224,99,178,334,569,213,600
251,1638,3485,1951,2927,2077,2779,1448,3037
252,200,453,230,379,146,249,89,256
253,851,1560,976,1277,1043,1261,731,1404
254,554,710,570,617,599,669,431,737
