rn,state,cid,tract,pop,white,black,hispanic
444,48,29,182101,7597.0,6836.0,49.0,1770.0
445,48,29,182102,7569.0,6604.0,333.0,2488.0
446,48,29,182103,2491.0,2371.0,58.0,896.0
447,48,29,182105,2385.0,2147.0,43.0,943.0
448,48,29,182106,6473.0,5134.0,182.0,2546.0
449,48,29,190100,3444.0,2602.0,128.0,2586.0
450,48,29,190200,4259.0,3730.0,53.0,2067.0
451,48,29,190400,3984.0,3332.0,98.0,1316.0
452,48,29,190501,3062.0,2176.0,19.0,2763.0
453,48,29,190503,3669.0,3342.0,50.0,2578.0
454,48,29,190504,2915.0,2251.0,30.0,2357.0
455,48,29,190601,4083.0,3115.0,2.0,3914.0
456,48,29,190603,2954.0,2420.0,53.0,2512.0
457,48,29,190604,4331.0,3077.0,0.0,3952.0
458,48,29,190700,2933.0,2443.0,121.0,1920.0
459,48,29,190800,1990.0,1865.0,95.0,356.0
460,48,29,190901,6210.0,5140.0,362.0,4015.0
461,48,29,190902,3916.0,3519.0,140.0,2428.0
462,48,29,191003,8164.0,5669.0,393.0,6205.0
463,48,29,191004,4212.0,3307.0,136.0,3291.0
464,48,29,191005,2537.0,2238.0,0.0,2242.0
465,48,29,191006,6278.0,4164.0,212.0,5797.0
466,48,29,191101,1665.0,1567.0,1.0,564.0
467,48,29,191102,2646.0,2474.0,27.0,1193.0
468,48,29,191201,3038.0,2962.0,5.0,1519.0
469,48,29,191202,5036.0,4427.0,214.0,2758.0
470,48,29,191303,1585.0,1490.0,41.0,698.0
471,48,29,191304,2449.0,2024.0,184.0,1398.0
472,48,29,191405,7838.0,6951.0,240.0,2872.0
473,48,29,191406,7368.0,6335.0,0.0,1706.0
474,48,29,191408,3049.0,2169.0,171.0,1837.0
475,48,29,191409,6914.0,5081.0,387.0,4476.0
476,48,29,191410,5709.0,4514.0,482.0,2845.0
477,48,29,191411,4368.0,3794.0,186.0,1470.0
478,48,29,191412,2362.0,2168.0,6.0,456.0
479,48,29,191413,6039.0,5343.0,153.0,2100.0
480,48,29,191503,5084.0,4372.0,139.0,1717.0
481,48,29,191504,2464.0,2136.0,0.0,673.0
482,48,29,191505,2198.0,2053.0,0.0,650.0
483,48,29,191506,5548.0,4933.0,44.0,2493.0
484,48,29,191701,1536.0,1325.0,0.0,271.0
485,48,29,191702,7876.0,7014.0,464.0,2012.0
486,48,29,191804,6729.0,6101.0,145.0,1660.0
487,48,29,191806,8403.0,7100.0,377.0,2218.0
