rn,D12,R12,D16,R16
375,318,717,369,607
376,458,3618,616,3010
377,2286,4305,2475,4296
378,1012,622,1152,576
379,176,807,187,645
380,613,86,617,79
381,363,80,358,64
382,890,1006,832,1006
383,470,1044,464,1090
384,328,555,346,499
385,172,732,156,691
386,504,1644,628,1484
387,297,396,311,389
388,782,1468,930,1408
389,668,2060,694,1948
390,1107,3990,1182,4020
392,674,706,846,678
394,1068,1594,1214,1534
395,506,2158,564,2038
396,957,4221,1218,3897
397,554,1636,618,1530
398,837,3075,1008,3177
399,496,1712,654,1584
400,382,1308,532,1218
401,1386,2874,1647,3048
402,987,3504,1308,3243
403,1652,6320,2168,6132
404,927,4449,1299,4254
405,1744,6400,2248,6144
406,1329,2940,1524,3165
407,1468,4784,1576,5268
408,1326,2390,1334,1978
409,2250,6357,2562,6525
410,732,3122,974,3194
411,450,1562,520,1522
412,172,595,204,594
413,738,2715,807,2847
